Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1990","1990","1000 persons","678.404","X","International reliable sources",""
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1990","1990","1000 persons","1422.479","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1991","1991","1000 persons","1494.268","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1991","1991","1000 persons","696.131","X","International reliable sources",""
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1992","1992","1000 persons","715.24","X","International reliable sources",""
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1992","1992","1000 persons","1571.745","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1993","1993","1000 persons","1654.929","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1993","1993","1000 persons","735.67","X","International reliable sources",""
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1994","1994","1000 persons","757.236","X","International reliable sources",""
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1994","1994","1000 persons","1743.842","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1995","1995","1000 persons","1838.048","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1995","1995","1000 persons","779.654","X","International reliable sources",""
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1996","1996","1000 persons","803.156","X","International reliable sources",""
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1996","1996","1000 persons","1938.422","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1997","1997","1000 persons","2043.886","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1997","1997","1000 persons","827.261","X","International reliable sources",""
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1998","1998","1000 persons","854.23","X","International reliable sources",""
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1998","1998","1000 persons","2145.632","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","1999","1999","1000 persons","2237.847","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","1999","1999","1000 persons","881.229","X","International reliable sources",""
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","2000","2000","1000 persons","903.438","X","International reliable sources",""
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","2000","2000","1000 persons","2319.571","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","2001","2001","1000 persons","2388.568","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","2001","2001","1000 persons","920.182","X","International reliable sources",""
"OA","Annual population","299","Palestine","551","Rural population","3010","Population - Est. & Proj.","2002","2002","1000 persons","932.313","X","International reliable sources",""
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","2002","2002","1000 persons","2446.736","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","299","Palestine","561","Urban population","3010","Population - Est. & Proj.","2003","2003","1000 persons","2498.966","X","International reliable sources","UNDESA, Population Division ? World Urbanization Prospects, the 2018 Revision"
