"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","257","Oil, palm","2020","2020","tonnes","3084363.0","1"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","15","Wheat","2020","2020","tonnes","2490628.0","2"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","236","Soybeans","2020","2020","tonnes","2139976.0","3"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","767","Cotton lint","2020","2020","tonnes","818737.0","4"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","270","Rapeseed","2020","2020","tonnes","777025.0","5"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","187","Peas, dry","2020","2020","tonnes","597969.0","6"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","388","Tomatoes","2020","2020","tonnes","365380.0","7"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","164","Sugar refined","2020","2020","tonnes","282719.0","8"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","667","Tea","2020","2020","tonnes","254406.0","9"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","259","Cake, palm kernel","2020","2020","tonnes","220403.0","10"
