"Domain Code","Domain","Area Code","Area","Element Code","Element","Item Code","Item","Year Code","Year","Unit","Value","Ranking"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","257","Oil, palm","2020","2020","tonnes","7203188.0","1"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","237","Oil, soybean","2020","2020","tonnes","3738942.0","2"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","268","Oil, sunflower","2020","2020","tonnes","2505754.0","3"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","162","Sugar Raw Centrifugal","2020","2020","tonnes","2010420.0","4"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","201","Lentils","2020","2020","tonnes","1061305.0","5"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","217","Cashew nuts, with shell","2020","2020","tonnes","874082.0","6"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","1276","Fatty acids","2020","2020","tonnes","574511.0","7"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","176","Beans, dry","2020","2020","tonnes","509918.0","8"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","236","Soybeans","2020","2020","tonnes","505223.0","9"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","837","Rubber natural dry","2020","2020","tonnes","372625.0","10"
