Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2001","2001","23014","Food price inflation","7001","January","%","22.943765","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2002","2002","23014","Food price inflation","7001","January","%","11.612646","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2003","2003","23014","Food price inflation","7001","January","%","19.585062","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2004","2004","23014","Food price inflation","7001","January","%","8.592641","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2005","2005","23014","Food price inflation","7001","January","%","12.390806","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2006","2006","23014","Food price inflation","7001","January","%","10.635895","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2007","2007","23014","Food price inflation","7001","January","%","5.042705","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2008","2008","23014","Food price inflation","7001","January","%","30.310976","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2009","2009","23014","Food price inflation","7001","January","%","16.731185","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23014","Food price inflation","7001","January","%","-17.076821","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23014","Food price inflation","7001","January","%","15.442461","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2012","2012","23014","Food price inflation","7001","January","%","5.193009","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2013","2013","23014","Food price inflation","7001","January","%","5.066044","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2014","2014","23014","Food price inflation","7001","January","%","9.092442","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23014","Food price inflation","7001","January","%","2.957042","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23014","Food price inflation","7001","January","%","1.117175","Fc","Calculated data",""
